#,indent_number,bottling_plan_id,plan_created_date,etin,code_type,dispatch_date,tp_reference_number,from_entity_code,from_entity_name,to_entity_code,to_entity_name,brand_name,package_size,package_type,dispatched_cases,dispatched_bottles
1,WHOLESALE19802-20250502124723013,BOTTELING_PLAN_1019928,2025-04-04,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-03,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00000256,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,100,4500
2,WHOLESALE19802-20250502124723013,BOTTELING_PLAN_1019937,2025-04-04,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-03,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00000256,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,140,6300
3,WHOLESALE19802-20250502124723013,BOTTELING_PLAN_1020090,2025-04-08,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-03,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00000256,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,244,10980
4,WHOLESALE19802-20250502124723013,BOTTELING_PLAN_1020160,2025-04-10,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-03,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00000256,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,500,22500
5,WHOLESALE19802-20250502124723013,BOTTELING_PLAN_1020176,2025-04-10,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-03,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00000256,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,15,675
6,WHOLESALE19802-20250507102701348,BOTTELING_PLAN_1021053,2025-05-04,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-07,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00001088,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,150,6750
7,WHOLESALE19802-20250507102701348,BOTTELING_PLAN_1021144,2025-05-06,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-07,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00001088,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,651,29295
8,WHOLESALE19802-20250507102701348,BOTTELING_PLAN_1021151,2025-05-06,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-07,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00001088,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,199,8955
9,WHOLESALE19802-20250502124723013,BOTTELING_PLAN_1020899,2025-04-30,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-03,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00000256,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1,45
10,WHOLESALE19802-20250515102152906,BOTTELING_PLAN_1021144,2025-05-06,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-15,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-May25_00002423,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1,45
