#,indent_number,Unnamed: 2,plan_created_date,etin,code_type,dispatch_date,tp_reference_number,from_entity_code,from_entity_name,to_entity_code,to_entity_name,brand_name,package_size,package_type,dispatched_cases,dispatched_bottles
1,252622283-20250501140440585,BOTTELING_PLAN_1020146,2025-04-10,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-01,WHOLESALE19802-CL2-252622283-CL5C-AMBE-May25_00000031,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,50,2250
2,252622283-20250509153329902,BOTTELING_PLAN_1019928,2025-04-04,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-09,WHOLESALE19802-CL2-252622283-CL5C-AMBE-May25_00000201,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,1,45
3,252622283-20250509153329902,BOTTELING_PLAN_1021053,2025-05-04,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-09,WHOLESALE19802-CL2-252622283-CL5C-AMBE-May25_00000201,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,13,585
4,252622283-20250509153329902,BOTTELING_PLAN_1021151,2025-05-06,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-09,WHOLESALE19802-CL2-252622283-CL5C-AMBE-May25_00000201,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,16,720
5,252622283-20250524155232961,BOTTELING_PLAN_1021354,2025-05-10,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-24,WHOLESALE19802-CL2-252622283-CL5C-AMBE-May25_00000451,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,1,45
6,252622283-20250524155232961,BOTTELING_PLAN_1021548,2025-05-15,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-05-24,WHOLESALE19802-CL2-252622283-CL5C-AMBE-May25_00000451,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,19,855
7,252622283-20250607101122483,BOTTELING_PLAN_1021354,2025-05-10,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-07,WHOLESALE19802-CL2-252622283-CL5C-AMBE-Jun25_00000141,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,3,135
8,252622283-20250607101122483,BOTTELING_PLAN_1022317,2025-06-02,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-07,WHOLESALE19802-CL2-252622283-CL5C-AMBE-Jun25_00000141,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,2,90
9,252622283-20250607101122483,BOTTELING_PLAN_1022326,2025-06-02,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-07,WHOLESALE19802-CL2-252622283-CL5C-AMBE-Jun25_00000141,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,35,1575
10,252622283-20250601122843521,BOTTELING_PLAN_1021743,2025-05-19,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-06-01,WHOLESALE19802-CL2-252622283-CL5C-AMBE-Jun25_00000028,DEPOVIZ001,Exicse Depot Vizianagaram,24080025,M/s Sri Ganapathi Wines Bhavanipuram,Siri 's Sentini Special,180,Glass Bottle,40,1800
